feature,qc_mean_intensity,qc_std_intensity,qc_cv_pct,qc_log_sd,qc_detection_rate,Dunn_mean_intensity,Dunn_std_intensity,Dunn_cv_pct,Dunn_log_sd,Dunn_detection_rate,French_mean_intensity,French_std_intensity,French_cv_pct,French_log_sd,French_detection_rate,LMU_mean_intensity,LMU_std_intensity,LMU_cv_pct,LMU_log_sd,LMU_detection_rate,bio_cv_pct_median,bio_cv_pct_max,bio_log_sd_median,bio_detection_rate_median,bio_detection_rate_min,d_ratio_cv,d_ratio_log,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std,detection_rate__Dunn,detection_rate__French,detection_rate__LMU,blank_mean_intensity,blank_detection_rate,qc_mean_intensity_cont,bio_mean_intensity,blank_to_qc_ratio,blank_to_bio_ratio,blank_dominant_flag,carryover_spearman_rho,n_blank_contexts,bio_detection_rate_max,passes_mz_500,passes_qc_cv_30,passes_detection_70_any_class,passes_detection_70_all_classes,blank_dominant_veto,potential_carryover_flag,retained_main,retained_high_confidence,exclusion_reason
FT-079,71.47372902399326,20.764956361815123,29.052571686646527,0.28669719679724565,1.0,89.28751929112467,24.88581714288769,27.871551747055182,0.31387457053121043,1.0,62.65457214130426,23.916145705811246,38.17142929629045,0.41628193334548497,1.0,80.95084998642987,161.69266039604543,199.74176975677295,0.8223924024236376,0.9615384615384616,38.17142929629045,199.74176975677295,0.41628193334548497,1.0,0.9615384615384616,0.7611077767389207,0.6887091988191257,1077.2093617269695,1077.2780627278853,1077.1457095383691,0.033821129808481,1186.4594094558372,1193.3994246262791,1189.5073639083237,1183.6673357354396,1179.0351316011868,1.4609631651882211,1.0,1.0,0.9615384615384616,2.55112722212645,0.3333333333333333,85.72907572772174,76.87344777391537,0.0409450601465522,0.04560125849874,False,0.3535533905932737,5,1.0,True,True,True,True,False,False,True,True,retained
FT-002,1375.0627606749038,288.0754338021132,20.949984396401003,0.24494092417141836,1.0,1439.636430766677,450.079252450003,31.263396982133454,0.43985395738291505,1.0,1606.1515481488566,344.3016937438306,21.436438805581563,0.21465792447493906,1.0,1593.6030149750613,493.28334676682425,30.953966711373457,0.3413215147327254,1.0,30.953966711373457,31.263396982133454,0.3413215147327254,1.0,1.0,0.6768109752054273,0.7176252114175146,889.6499309783783,889.7022159640214,889.6015469549808,0.0255523760494532,609.0997423566134,627.7172511456954,611.7465009922388,606.4265533909693,596.7890463679698,1.324647395195849,1.0,1.0,1.0,0.0,0.0,1466.5399815071848,1545.1114211635718,0.000681412440275,0.0006467839162894,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-006,14237.665886413428,2793.4597523051384,19.62020863947125,0.23333716530172546,1.0,14353.00281365266,4482.013535674623,31.2270093851811,0.4300291955618134,1.0,16234.006148135048,3248.81288554222,20.012391617305394,0.2028509278892641,1.0,16153.435788884508,4743.407375695724,29.36469638836683,0.32425750651606167,1.0,29.36469638836683,31.2270093851811,0.32425750651606167,1.0,1.0,0.6681563595952597,0.7196045137359601,887.6403722304062,887.6915980212889,887.5931182401197,0.0264112827320949,609.3874587233016,637.95713424683,612.0491366757302,606.703800297612,594.2041830964115,1.275730582215387,1.0,1.0,1.0,0.0,0.0,15002.78195670832,15564.614763685193,6.664986220710114e-05,6.424416993365496e-05,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-005,30133.94500837972,5345.247283314719,17.73829242015375,0.2121248988977114,1.0,30292.07643437917,8830.42094827246,29.150926538170932,0.4041830115391308,1.0,33741.45757326203,5823.609372125243,17.25950741600471,0.1775964155562451,1.0,33604.26137529538,8872.61190006485,26.40323440225254,0.2891473850239668,1.0,26.40323440225254,29.150926538170932,0.2891473850239668,1.0,1.0,0.6718227073968045,0.7336220553408388,886.6324598613013,886.683374655879,886.5806672354295,0.0260289685536768,609.4612894305731,638.0671635917994,612.0676440481267,606.7118780336342,593.3752149084339,1.2871308303822482,1.0,1.0,1.0,0.0,0.0,31389.31168830916,32517.40197962949,3.185696306330194e-05,3.0751818635689115e-05,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-051,130.10013630036502,20.627778593957842,15.855308980102864,0.15470617373565587,1.0,142.9059654289295,29.160715138683127,20.405526844983555,0.20884716129778402,1.0,110.27678130247513,19.12185369597076,17.339872881782753,0.16354172943017536,1.0,99.34108019766782,27.14648683125351,27.326546859806356,0.2569963402982306,1.0,20.405526844983555,27.326546859806356,0.20884716129778402,1.0,1.0,0.7770105178147211,0.7407626360555056,1069.2050570468462,1069.267470109953,1069.1500824304103,0.0309242309640597,1157.7638325982018,1163.3854165077216,1160.088364981479,1155.2213391757566,1149.20816373825,1.1956236333629695,1.0,1.0,1.0,0.0,0.0,112.01591078476524,117.82943627322548,0.008848311649715,0.0084154232432836,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-004,4927.071786112868,1017.7322477937986,20.655924897670747,0.2500675052057238,1.0,4984.858382333048,1549.4631335959764,31.083393243175465,0.44899996491227245,1.0,5633.607046559093,1219.6645374404723,21.64979785349817,0.2186352319383048,1.0,5642.504715364699,1733.473738644778,30.721706513146195,0.33667046735737677,1.0,30.721706513146195,31.083393243175465,0.33667046735737677,1.0,1.0,0.6723560388428235,0.7427663827141582,888.6453654740943,888.696941107057,888.6002022302245,0.0261611624589508,609.2556518766722,632.996441523236,612.0087323125949,606.7788089451603,595.4616877237953,1.2546838991479563,1.0,1.0,1.0,0.0,0.0,5192.6804661605365,5414.811166240645,0.0001925416872515,0.0001846445471056,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-168,4272.505543503742,647.1068858692253,15.14584075503748,0.15490918456199929,1.0,4228.6050966851,811.5313554095404,19.191467087946293,0.2069617323617849,1.0,4544.164145292001,573.1416536814055,12.612696974760718,0.12384637248116254,1.0,4226.153285283751,1065.088414705093,25.20231384919067,0.5655774027785154,1.0,19.191467087946293,25.20231384919067,0.2069617323617849,1.0,1.0,0.7891966093905465,0.7484919206764573,1336.3262451050714,1336.405389862383,1336.2566589899025,0.0391003658010661,1551.2877356272045,1571.0304137199175,1553.9989897891342,1548.747391469725,1537.806266046342,1.2870543607151437,1.0,1.0,1.0,0.0,0.0,4360.541664934453,4331.653048170472,0.0002292767275479,0.0002308054646614,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-040,886.5293864385967,118.68696932945446,13.387821221160955,0.14142913887199393,1.0,951.0122073465504,173.75886699485983,18.270939705355623,0.18831046072111868,1.0,753.6994522024642,116.15019627125176,15.410678080213152,0.150496224795471,1.0,789.8296231670555,152.89654677833602,19.358168178758866,0.19919749777504636,1.0,18.270939705355623,19.358168178758866,0.18831046072111868,1.0,1.0,0.7327385146608898,0.7510423920710684,1024.6859401518484,1024.745883352035,1024.635571164931,0.0299810881909713,1107.6170160866384,1125.2454211495194,1110.1572639572094,1104.5491052697555,1102.7951743386006,1.4042236421118546,1.0,1.0,1.0,0.0,0.0,780.9964350724675,833.0263994679034,0.0012787782081223,0.0011990028141051,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-245,102.27264637167883,23.94401701317341,23.41194626582377,0.23756329123363698,1.0,98.14780253491524,28.042501259829134,28.571705667942236,0.2995754866079673,1.0,72.38617095643076,25.493013967975468,35.21807222448569,0.36243324309929353,1.0,121.74430209413163,37.588003177106906,30.874548155891677,0.31529674118057377,1.0,30.874548155891677,35.21807222448569,0.31529674118057377,1.0,1.0,0.7582927577631983,0.753459393028049,1083.02130840629,1083.085385012217,1082.9524375265098,0.0367501395346961,1473.1330249701502,1482.318571374777,1476.1689162150667,1469.9701177376287,1466.9295087773758,1.491661240294952,1.0,1.0,1.0,0.0,0.0,88.51679395190241,97.43522743996624,0.011171088193097,0.010158964691882,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-243,191.9783482780277,33.9596297754927,17.68930198644669,0.18579019150268766,1.0,203.45385559039389,41.27843794233053,20.28884526299412,0.20683192917787016,1.0,170.64969018079324,41.52366171149954,24.332690945707363,0.24480925266499842,1.0,176.92273689744272,46.469376127861416,26.26535002948685,0.2454882273931065,1.0,24.332690945707363,26.26535002948685,0.24480925266499842,1.0,1.0,0.7269768076994105,0.758918176009166,1083.0184165320716,1083.081155245212,1082.9536937910798,0.0367099381181748,1438.918439562102,1444.8087708493492,1440.6161703055536,1436.2722954248684,1431.0281680492635,1.1621010653959112,1.0,1.0,1.0,0.0,0.0,161.443969675892,183.92578740474397,0.0061559687441472,0.0054075746494528,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-238,77.6716780384699,14.379820606504387,18.513595907355345,0.2083849271706473,1.0,60.38118484345158,16.487280292249793,27.305327537039645,0.2921114397875644,1.0,53.77688656031649,12.374878358330772,23.011518795256084,0.2619713772785836,1.0,93.97777325423417,22.833771100379494,24.296990990208123,0.2506508361585895,1.0,24.296990990208123,27.305327537039645,0.2619713772785836,1.0,1.0,0.7619707277669268,0.7954492179084443,1083.34221048445,1083.4156648006433,1083.2876061219467,0.0332555834962821,1423.037280138564,1429.8039524371825,1425.2939780948373,1420.203550145215,1414.9106421837485,1.413257598599415,1.0,1.0,1.0,0.0,0.0,74.77722454767705,69.2647233664748,0.0131965772825425,0.0142318926495215,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-110,3057.572263320515,912.4749291047112,29.843119001667223,0.46777113043224944,1.0,3226.9030056594324,793.9168322069155,24.603058437595493,0.653333578222849,1.0,2825.3568334846327,355.54610274710154,12.58411321831485,0.12015801757686403,1.0,2853.9472494059855,850.404097986457,29.797470789393824,0.5732015101014872,1.0,24.603058437595493,29.797470789393824,0.5732015101014872,1.0,1.0,1.2129841124168728,0.8160675123647686,1397.397689304656,1397.4807202889865,1397.32751164411,0.0396415334606327,1341.878177208506,1358.4040985107413,1343.935126354734,1339.536640575101,1327.251101175941,1.0627275704614252,1.0,1.0,1.0,0.0,0.0,2824.110301241298,2972.0036368096294,0.0003539684802963,0.0003363601670777,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-202,180.79833832393186,36.35545102564704,20.10828825235655,0.21988760898972223,1.0,170.54677305128698,45.58314942362598,26.727652835693455,0.2761820550416628,1.0,206.5152695907976,54.47476663338082,26.378081747330626,0.2620040403370905,1.0,153.77264659607332,40.78064140551163,26.520088135462313,0.23066235851324282,1.0,26.520088135462313,26.727652835693455,0.2620040403370905,1.0,1.0,0.7582285605404159,0.8392527409379569,1033.9870057402484,1034.0472286109705,1033.928817254043,0.0317203756271548,1386.1519996372765,1394.7988818241977,1389.2728290402838,1383.1683020518017,1377.1626443129362,1.4789205614544831,1.0,1.0,1.0,0.8118030693812693,0.1666666666666666,157.84461632562994,176.86390750941004,0.0114061345690627,0.0101864571331618,False,0.0,5,1.0,True,True,True,True,False,False,True,True,retained
FT-060,400.7886016215288,69.83598077931343,17.424642441618307,0.1793481241270795,1.0,429.4710455346248,94.39164729852023,21.978582323522478,0.2548115972073745,1.0,356.3431608640206,54.006261886152025,15.155689183202997,0.15315736229536206,1.0,398.06766440561483,83.15382079225036,20.889368373191946,0.21144502276670624,1.0,20.889368373191946,21.978582323522478,0.21144502276670624,1.0,1.0,0.8341392678957186,0.8482021557204483,1251.815294797806,1251.8928041654049,1251.7555207167077,0.038755507110193,1252.0156980757831,1259.4881563062756,1254.194200130937,1249.5033644892535,1243.0116841700158,1.2070818965472034,1.0,1.0,1.0,0.0,0.0,369.7445069546533,395.068350461334,0.0026972752967107,0.0025248167363921,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-069,924.0848528841284,133.00049018131477,14.39267073431749,0.14839400053324545,1.0,963.5270914734795,167.26846340223193,17.36001663912072,0.17788949017574895,1.0,880.6997002504892,111.29518142855169,12.637131748415156,0.12381388931197862,1.0,864.6323305632338,151.8128953212514,17.55808682545543,0.17444343436628443,1.0,17.36001663912072,17.55808682545543,0.17444343436628443,1.0,1.0,0.8290701001912447,0.8506711706997114,1150.7568385346326,1150.8215253510546,1150.6976302094158,0.0348052353991313,1199.4452906242605,1210.6137862572284,1201.2154408063195,1197.1823084180112,1184.9031991225047,1.0329515176038833,1.0,1.0,1.0,0.0,0.0,837.8789706795819,903.719800897984,0.0011920670739783,0.0011053145946484,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-095,2754.065463448269,524.5629975517419,19.046860160504497,0.1818524673668541,1.0,2754.034399961064,519.7633846100945,18.872799287381554,0.22344427542434617,1.0,2421.396406298692,255.86849521679514,10.566980877282775,0.10522228961238901,1.0,2458.75815225543,430.6424203795125,17.514631115080686,0.20628180981171867,1.0,17.514631115080686,18.872799287381554,0.20628180981171867,1.0,1.0,1.0874828042541251,0.8815729682265141,1296.8385481999308,1296.9145054717983,1296.7740241235522,0.036768193553219,1325.9004245551305,1343.095463462498,1328.046641465988,1323.3579718833523,1306.2086665112035,1.192316158113339,1.0,1.0,1.0,0.0,0.0,2506.461190989754,2547.379080017163,0.0003988097616798,0.0003924062977291,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-225,67.83135853454345,19.44863422762497,28.672039964702545,0.308022619944372,1.0,80.73975326922363,26.92942968746948,33.35337129118332,0.3466794905088786,1.0,65.78898030292068,17.277471594322904,26.26195377215153,0.2715956800775632,1.0,69.38107808751514,81.67884672190607,117.7249604263556,0.7119806126003634,1.0,33.35337129118332,117.7249604263556,0.3466794905088786,1.0,1.0,0.8596444333734189,0.88849392126496,1077.7143327045933,1077.774000301872,1077.655267159494,0.0311261598865204,1186.9637374633428,1193.886183441663,1190.5084643354585,1183.6865880769894,1179.1995339315472,1.6444793093376109,1.0,1.0,1.0,0.0,0.0,56.88954332566981,72.08094754962491,0.0172742768823428,0.0136834569546455,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-066,1444.0545926452266,195.26008462013652,13.521655317923825,0.1386496435118967,1.0,1467.200533485155,234.80167129530037,16.003379629201593,0.1634155737458739,1.0,1370.4015117600438,165.70220828686985,12.091507989804683,0.1191002032664035,1.0,1356.8324626653,217.7398718523021,16.047660845656935,0.15578423191971302,1.0,16.003379629201593,16.047660845656935,0.15578423191971302,1.0,1.0,0.8449249865478833,0.8900107655526587,1150.2523051364865,1150.3219915217664,1150.1924882958133,0.0327477740464124,1199.6136168612857,1211.804089112715,1201.579446951864,1197.0687593819969,1184.1168776425466,1.0672118534282304,1.0,1.0,1.0,0.0,0.0,1313.9452043548083,1399.0189587235209,0.0007604879630635,0.0007142760415985,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-159,1069.713385107761,298.8936910512389,27.94147434372141,0.270728387483183,1.0,1004.2222939698863,301.79672512746885,30.052780837438654,0.5499986215498742,1.0,1047.5708897310249,202.59123229530567,19.339142990821667,0.20221278465125633,1.0,933.4698175111224,254.90342394134504,27.307087937881594,0.3032184463030614,1.0,27.307087937881594,30.052780837438654,0.3032184463030614,1.0,1.0,1.0232315656390356,0.8928493328291606,1343.8406591266526,1343.9145274628254,1343.7677461186618,0.0377960318667136,1551.4018781172863,1565.4921889631703,1553.8324037844404,1548.6513125167294,1538.0750452329032,1.2893645633100164,1.0,1.0,1.0,0.0,0.0,1213.416491655562,995.2032952592753,0.0008234407280131,0.0010038111746455,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-206,198.7698817395667,36.364019776469185,18.29453207811143,0.20182592068289873,1.0,188.6426636835975,40.62467727436547,21.53525426385176,0.21941381640744262,1.0,217.8586346343642,49.0157388128015,22.498873590695837,0.22490055207517734,1.0,168.16508787552533,44.587460351738784,26.514100468191188,0.26763242655107533,1.0,22.498873590695837,26.514100468191188,0.22490055207517734,1.0,1.0,0.8131310220648973,0.8974007347720273,1034.6560763743712,1034.7123139359592,1034.6014150768017,0.0298462974025474,1386.0386461317642,1395.2626547813416,1388.8838369044424,1383.0236739106767,1376.8958172798157,1.443510211018104,1.0,1.0,1.0,0.0,0.0,164.53404527072766,191.51859119891463,0.0060410533577217,0.005194303541141,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-043,3673.4484500965063,515.6823455472766,14.038099419463173,0.14437538917049136,1.0,3876.9053153964496,617.4300280197714,15.925847494076173,0.1593609127292718,1.0,4275.790561019544,477.8174094852651,11.174948881764957,0.108745086451523,1.0,2479.727802149605,391.10122052108386,15.77194158899414,0.1613811788650551,1.0,15.77194158899414,15.925847494076173,0.1593609127292718,1.0,1.0,0.8900679310947446,0.9059648736811743,1005.172041771252,1005.2308196005796,1005.1142487241556,0.029859711948434,1156.3855354906916,1177.111414619113,1158.8826604052406,1153.7486667864507,1140.2857042395556,1.3065927903911043,1.0,1.0,1.0,0.0,0.0,3118.8095264918284,3548.3534298493914,0.0003205323887591,0.0002817414551028,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-038,483.19473611175033,85.39446478785928,17.6728880523462,0.1817703839288994,1.0,639.112857653513,507.7790029695238,79.450600451667,0.3907956941146937,1.0,413.86352127777786,61.064671389588604,14.754784669365213,0.1478343687389213,1.0,438.18500502963366,85.02436825023963,19.403760346497844,0.19852343838383932,1.0,19.403760346497844,79.450600451667,0.19852343838383932,1.0,1.0,0.9107970690606861,0.9156117051400835,1025.690862799387,1025.7477618544551,1025.6366460844254,0.030538553488754,1107.23462155222,1121.1202767189984,1109.9813621005935,1104.387069581245,1102.96307424481,1.4209852699776997,1.0,1.0,1.0,0.0,0.0,423.7966793550052,498.8520106409816,0.002354067365871,0.0020005921326947,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-115,139.8000252545429,30.149390976812633,21.56608407038389,0.22385160184138705,1.0,129.58792378319725,31.86225846519408,24.587367043938574,0.24400077283519925,1.0,94.63121562935763,25.29950592898983,26.73484194484036,0.25860736912001187,1.0,177.61194427190546,34.084432892518635,19.190394560592672,0.19428187386171553,1.0,24.587367043938574,26.73484194484036,0.24400077283519925,1.0,1.0,0.8771205160700805,0.9174216919082417,1151.2577144686827,1151.3262326936172,1151.1904885859722,0.0345722197950819,1279.5426959634483,1288.5432278668477,1281.9849407416823,1276.8114177037737,1271.368124220108,1.3332454669452618,1.0,1.0,1.0,0.0,0.0,133.8988169299706,133.8885582225211,0.0074129634548175,0.0074135272344621,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-158,984.5967368662833,143.59764913315124,14.584412456025948,0.15345636179525998,1.0,988.1466796263403,203.06819794960268,20.550410393160586,0.20066332385806415,1.0,1066.708522918447,175.02912508890694,16.408336610083357,0.1619257321850824,1.0,1052.9436143684175,179.121852018199,17.01153315086496,0.16591747582781363,1.0,17.01153315086496,20.550410393160586,0.16591747582781363,1.0,1.0,0.8573249880939977,0.9248957111336145,1256.286883804324,1256.3617691443733,1256.218970839692,0.0384284633284264,1499.1705919535325,1512.5175795444216,1501.7481985790696,1496.5087130770617,1486.488871019942,1.2082867332128768,1.0,1.0,1.0,0.0,0.0,994.754597744716,1035.3280496122743,0.0010042635025385,0.0009649454150875,False,,5,1.0,True,True,True,True,False,False,True,True,retained
